MODE	GAMMA	C	NGRAM	BOW	F1 AVG	Round 1	Round 2	Round 3	Round 4	Round 5	Round 6	Round 7	Round 8	Round 9	Round 10
svm rbf lemma posneg	0.001	10	[1]	124	0.6755	0.7558	0.7607	0.7027	0.6069	0.698	0.6875	0.5541	0.7237	0.7083	0.5574
svm rbf lemma posneg	0.001	10	[1]	150	0.686	0.6887	0.6711	0.6887	0.6986	0.6928	0.7097	0.6528	0.6853	0.7241	0.6479
svm rbf lemma posneg	0.001	10	[1]	174	0.6891	0.7528	0.7037	0.7059	0.7067	0.6443	0.6982	0.6748	0.6623	0.6797	0.6623
svm rbf lemma posneg	0.001	10	[1]	200	0.6953	0.7273	0.6581	0.6329	0.7458	0.6752	0.6962	0.7297	0.6993	0.6939	0.695
svm rbf lemma posneg	0.001	10	[1, 2]	50	0.6799	0.7632	0.7248	0.6043	0.7079	0.7134	0.6715	0.6443	0.6667	0.6795	0.6232
svm rbf lemma posneg	0.001	10	[1, 2]	74	0.7036	0.6207	0.6757	0.7261	0.7	0.7283	0.7467	0.7237	0.7226	0.7482	0.6438
svm rbf lemma posneg	0.001	10	[1, 2]	100	0.7341	0.6767	0.7826	0.7534	0.7552	0.6906	0.76	0.6946	0.6835	0.7771	0.7674
svm rbf lemma posneg	0.001	10	[1, 2]	124	0.7373	0.6759	0.7333	0.6993	0.7453	0.7626	0.7013	0.7869	0.7456	0.7297	0.7929
svm rbf lemma posneg	0.0056	10	[1, 2]	150	0.71	0.732	0.7439	0.6923	0.642	0.6788	0.7273	0.7742	0.6994	0.6887	0.7209
svm rbf lemma posneg	0.001	10	[1, 2]	174	0.7398	0.7284	0.7107	0.7974	0.7303	0.7712	0.7381	0.7248	0.716	0.8182	0.6626
svm rbf lemma posneg	0.0056	10	[1, 2]	200	0.7296	0.7682	0.7226	0.7453	0.755	0.7815	0.6667	0.7117	0.7013	0.7044	0.7399
svm rbf lemma posneg	0.001	10	[1, 2, 3]	50	0.6746	0.6509	0.6914	0.6719	0.6393	0.6974	0.6667	0.7239	0.6617	0.6582	0.6846
svm rbf lemma posneg	0.001	10	[1, 2, 3]	74	0.713	0.662	0.7534	0.7442	0.7248	0.6842	0.6986	0.7	0.688	0.7613	0.7134
svm rbf lemma posneg	0.001	10	[1, 2, 3]	100	0.7173	0.7239	0.7702	0.7234	0.7329	0.717	0.6618	0.7299	0.6667	0.6714	0.776
svm rbf lemma posneg	0.001	10	[1, 2, 3]	124	0.7335	0.7417	0.75	0.7075	0.7763	0.7251	0.7417	0.7037	0.7558	0.7468	0.6867
svm rbf lemma posneg	0.001	10	[1, 2, 3]	150	0.741	0.7075	0.7973	0.7586	0.7598	0.7417	0.7362	0.7407	0.7006	0.7261	0.7417
svm rbf lemma posneg	0.001	10	[1, 2, 3]	174	0.7224	0.7059	0.7683	0.6923	0.7515	0.7701	0.6806	0.6905	0.7355	0.773	0.6562
svm rbf lemma posneg	0.001	10	[1, 2, 3]	200	0.7295	0.7753	0.7719	0.6667	0.6519	0.7383	0.6718	0.7811	0.7368	0.7381	0.7636
svm rbf lemma posneg	0.001	10	[2, 3]	50	0.5747	0.5891	0.4885	0.5652	0.6014	0.5401	0.5821	0.6154	0.5793	0.5735	0.6119
svm rbf lemma posneg	0.001	10	[2, 3]	74	0.5793	0.6197	0.6316	0.5373	0.6142	0.5469	0.5426	0.6087	0.4959	0.6331	0.563
svm rbf lemma posneg	0.001	10	[2, 3]	100	0.6103	0.6345	0.5577	0.6763	0.649	0.6269	0.6475	0.5571	0.625	0.6575	0.4715
svm rbf lemma posneg	0.001	10	[2, 3]	124	0.6216	0.64	0.6471	0.6457	0.6434	0.624	0.7206	0.5625	0.5921	0.5694	0.5714
svm rbf lemma posneg	0.001	10	[2, 3]	150	0.6516	0.6165	0.6667	0.6612	0.6994	0.6711	0.6866	0.6466	0.6047	0.6232	0.64
svm rbf lemma posneg	0.001	10	[2, 3]	174	0.6905	0.6667	0.6815	0.7308	0.7162	0.7059	0.6883	0.6308	0.7671	0.6557	0.6623
svm rbf lemma posneg	0.001	10	[2, 3]	200	0.6899	0.7172	0.6395	0.7547	0.7606	0.6667	0.6154	0.6716	0.6443	0.7237	0.705
svm rbf lemma pos1	1	10	[1]	50	0.4216	0.5	0.4386	0.4724	0.4132	0.3906	0.3761	0.4667	0.377	0.4423	0.3393
svm rbf lemma pos1	1	10	[1]	74	0.4298	0.512	0.5	0.4531	0.38	0.5082	0.3964	0.4426	0.3622	0.4032	0.34
svm rbf lemma pos1	0.1778	10	[1]	100	0.432	0.5156	0.4874	0.4298	0.3301	0.3898	0.4219	0.4	0.4833	0.4554	0.4071
svm rbf lemma pos1	0.1778	10	[1]	124	0.4012	0.3559	0.3883	0.3429	0.4107	0.4144	0.4505	0.3619	0.4462	0.4144	0.4272
svm rbf lemma pos1	0.0316	10	[1]	150	0.4053	0.2785	0.619	0.375	0.2766	0.3774	0.422	0.3826	0.4071	0.4182	0.4965
svm rbf lemma pos1	0.0316	10	[1]	174	0.5269	0.518	0.3529	0.5612	0.6111	0.3226	0.5912	0.5638	0.5359	0.5816	0.6309
svm rbf lemma pos1	0.0316	10	[1]	200	0.5538	0.3111	0.5772	0.6623	0.5714	0.6115	0.6202	0.6	0.437	0.5735	0.5735
svm rbf lemma pos1	1	10	[1, 2]	50	0.449	0.3937	0.4587	0.539	0.5789	0.4426	0.3551	0.4444	0.4314	0.4324	0.4138
svm rbf lemma pos1	0.1778	10	[1, 2]	74	0.4917	0.5785	0.5538	0.42	0.5649	0.4603	0.4828	0.419	0.4628	0.5041	0.4706
svm rbf lemma pos1	0.1778	10	[1, 2]	100	0.4919	0.4272	0.4685	0.4706	0.5362	0.4516	0.6197	0.4211	0.5584	0.4754	0.4906
svm rbf lemma pos1	0.0316	10	[1, 2]	124	0.614	0.6395	0.6475	0.596	0.5571	0.671	0.4833	0.6056	0.6667	0.6533	0.6197
svm rbf lemma pos1	0.0316	10	[1, 2]	150	0.6372	0.6497	0.6131	0.6475	0.6412	0.6849	0.6531	0.6301	0.5333	0.6429	0.6761
svm rbf lemma pos1	0.0316	10	[1, 2]	174	0.6296	0.68	0.5942	0.6338	0.6711	0.5957	0.64	0.6294	0.6195	0.6667	0.5652
svm rbf lemma pos1	0.0316	100	[1, 2]	200	0.6193	0.6761	0.6029	0.5839	0.6395	0.5669	0.6119	0.6718	0.6829	0.6331	0.5238
svm rbf lemma pos1	1	10	[1, 2, 3]	50	0.4808	0.4286	0.4553	0.4806	0.6098	0.6423	0.4779	0.3762	0.3866	0.5378	0.4132
svm rbf lemma pos1	0.1778	10	[1, 2, 3]	74	0.5143	0.4733	0.5366	0.5303	0.4952	0.6961	0.5124	0.3958	0.4815	0.4921	0.5299
svm rbf lemma pos1	0.0316	10	[1, 2, 3]	100	0.5483	0.5816	0.38	0.5085	0.6026	0.6331	0.6282	0.4355	0.6415	0.4909	0.5816
svm rbf lemma pos1	0.1778	10	[1, 2, 3]	124	0.5997	0.5547	0.5865	0.6389	0.5634	0.6795	0.6629	0.6187	0.747	0.6187	0.3265
svm rbf lemma pos1	0.0316	10	[1, 2, 3]	150	0.6326	0.6277	0.5882	0.625	0.6415	0.6122	0.6562	0.6351	0.6892	0.6122	0.6383
svm rbf lemma pos1	0.0316	10	[1, 2, 3]	174	0.6448	0.6618	0.5915	0.5484	0.6174	0.595	0.6111	0.7516	0.7294	0.7093	0.6324
svm rbf lemma pos1	0.0316	100	[1, 2, 3]	200	0.6175	0.5935	0.705	0.5526	0.6833	0.5854	0.6479	0.6357	0.56	0.626	0.5854
svm rbf lemma pos1	0.1778	10	[2, 3]	50	0.665	0.6531	0.6465	0.6458	0.6837	0.6509	0.673	0.6667	0.6977	0.6635	0.6697
svm rbf lemma pos1	0.0056	10	[2, 3]	74	0.6772	0.6952	0.6875	0.7222	0.6298	0.67	0.6979	0.6597	0.6383	0.7172	0.6545
svm rbf lemma pos1	0.1778	10	[2, 3]	100	0.6821	0.6705	0.7027	0.6628	0.6703	0.6869	0.7538	0.7745	0.5789	0.6806	0.6395
svm rbf lemma pos1	0.0056	10	[2, 3]	124	0.6964	0.7415	0.725	0.7375	0.6878	0.6628	0.6904	0.7079	0.7151	0.5698	0.7264
svm rbf lemma pos1	0.1778	10	[2, 3]	150	0.6949	0.72	0.6378	0.7213	0.7021	0.7229	0.7104	0.7407	0.6784	0.6901	0.6257
svm rbf lemma pos1	0.1778	10	[2, 3]	174	0.7058	0.7241	0.6667	0.6961	0.6829	0.7771	0.712	0.6936	0.7126	0.7487	0.6441
svm rbf lemma pos1	0.1778	10	[2, 3]	200	0.6966	0.6932	0.6463	0.7356	0.734	0.7232	0.7151	0.6739	0.6821	0.6584	0.7045
svm rbf lemma neg1	0.0056	10	[1]	50	0.5143	0.4132	0.5161	0.4394	0.5899	0.5167	0.5714	0.4762	0.5217	0.5185	0.5802
svm rbf lemma neg1	0.001	100	[1]	74	0.5213	0.5865	0.5	0.5303	0.5691	0.6029	0.48	0.5	0.464	0.4885	0.4921
svm rbf lemma neg1	0.001	100	[1]	100	0.5348	0.6438	0.5417	0.5294	0.5197	0.5546	0.463	0.5077	0.5303	0.5	0.5574
svm rbf lemma neg1	0.001	100	[1]	124	0.5529	0.5512	0.5532	0.5797	0.4737	0.5778	0.5037	0.5821	0.5625	0.5821	0.563
svm rbf lemma neg1	0.001	100	[1]	150	0.5695	0.5634	0.544	0.4815	0.5366	0.5714	0.5469	0.6301	0.6467	0.5714	0.6029
svm rbf lemma neg1	0.001	100	[1]	174	0.5529	0.5161	0.5493	0.585	0.528	0.5333	0.496	0.5455	0.6383	0.5496	0.5874
svm rbf lemma neg1	0.001	10	[1]	200	0.57	0.5581	0.5528	0.5426	0.6338	0.5224	0.6	0.5797	0.5874	0.6351	0.4882
svm rbf lemma neg1	0.001	100	[1, 2]	50	0.573	0.5714	0.5735	0.5634	0.6338	0.531	0.5	0.7123	0.6222	0.5224	0.5
svm rbf lemma neg1	0.0056	10	[1, 2]	74	0.6182	0.5612	0.6107	0.6615	0.6202	0.6202	0.5867	0.6377	0.6301	0.6015	0.6519
svm rbf lemma neg1	0.001	10	[1, 2]	100	0.6214	0.5899	0.624	0.6047	0.5778	0.5753	0.5857	0.608	0.6853	0.6763	0.6875
svm rbf lemma neg1	0.001	10	[1, 2]	124	0.6202	0.5672	0.6483	0.6308	0.6519	0.5931	0.5793	0.6861	0.5797	0.6759	0.5899
svm rbf lemma neg1	0.001	10	[1, 2]	150	0.6466	0.6883	0.6275	0.6567	0.6369	0.6395	0.544	0.6986	0.6525	0.6187	0.7031
svm rbf lemma neg1	0.001	10	[1, 2]	174	0.6446	0.6508	0.6853	0.5733	0.5077	0.6839	0.6753	0.7682	0.6486	0.5909	0.6618
svm rbf lemma neg1	0.001	10	[1, 2]	200	0.6812	0.6803	0.6993	0.7465	0.7133	0.6349	0.7059	0.6475	0.6345	0.705	0.6452
svm rbf lemma neg1	0.0056	10	[1, 2, 3]	50	0.5853	0.597	0.6	0.5362	0.5128	0.6338	0.592	0.6119	0.6418	0.541	0.5867
svm rbf lemma neg1	0.0056	10	[1, 2, 3]	74	0.6243	0.6857	0.6202	0.589	0.6015	0.6131	0.6573	0.6667	0.6107	0.6269	0.5714
svm rbf lemma neg1	0.001	100	[1, 2, 3]	100	0.6288	0.6457	0.6528	0.6099	0.5874	0.5874	0.6471	0.6061	0.5811	0.7132	0.6571
svm rbf lemma neg1	0.001	10	[1, 2, 3]	124	0.6279	0.64	0.7007	0.5556	0.5986	0.5691	0.6494	0.7329	0.6928	0.4865	0.6533
svm rbf lemma neg1	0.001	10	[1, 2, 3]	150	0.6522	0.6174	0.5962	0.6164	0.6711	0.64	0.6309	0.6494	0.7468	0.6667	0.687
svm rbf lemma neg1	0.001	10	[1, 2, 3]	174	0.6705	0.6202	0.6667	0.6412	0.6504	0.6479	0.6536	0.6887	0.6714	0.7647	0.7006
svm rbf lemma neg1	0.001	10	[1, 2, 3]	200	0.6938	0.6716	0.7342	0.6471	0.6849	0.6457	0.662	0.7792	0.6809	0.6846	0.7483
svm rbf lemma neg1	0.001	1000	[2, 3]	50	0.5724	0.596	0.608	0.5606	0.5373	0.5873	0.5197	0.5541	0.6259	0.5271	0.608
svm rbf lemma neg1	0.0056	100	[2, 3]	74	0.5762	0.6074	0.5546	0.539	0.6043	0.589	0.592	0.5109	0.5303	0.661	0.5736
svm rbf lemma neg1	0.0316	10	[2, 3]	100	0.577	0.5763	0.5909	0.5538	0.5891	0.5496	0.5827	0.512	0.5797	0.5833	0.6528
svm rbf lemma neg1	0.0056	10	[2, 3]	124	0.5914	0.6142	0.6486	0.6107	0.608	0.6406	0.6438	0.4844	0.5882	0.5324	0.5429
svm rbf lemma neg1	0.001	10	[2, 3]	150	0.6368	0.5397	0.6549	0.671	0.6622	0.6364	0.6494	0.6418	0.662	0.6575	0.5938
svm rbf lemma neg1	0.001	10	[2, 3]	174	0.6545	0.6759	0.6377	0.6897	0.6325	0.5938	0.6829	0.64	0.6835	0.6763	0.6324
svm rbf lemma neg1	0.001	100	[2, 3]	200	0.6595	0.637	0.6866	0.6957	0.641	0.6613	0.5734	0.6759	0.6761	0.7237	0.624
svm rbf lemma freq	0.001	10	[1]	50	0.6464	0.6842	0.6835	0.6531	0.6176	0.6389	0.5882	0.6711	0.5695	0.7092	0.649
svm rbf lemma freq	0.0316	10	[1]	74	0.6739	0.6951	0.7101	0.6536	0.7162	0.6475	0.6667	0.6531	0.6962	0.6466	0.6538
svm rbf lemma freq	0.001	10	[1]	100	0.6803	0.7662	0.6763	0.7152	0.6503	0.5692	0.6667	0.662	0.6923	0.6667	0.7383
svm rbf lemma freq	0.001	10	[1]	124	0.6891	0.7317	0.702	0.6879	0.7417	0.6759	0.6241	0.6667	0.6993	0.6628	0.6993
svm rbf lemma freq	0.001	10	[1]	150	0.6858	0.68	0.6621	0.6074	0.6918	0.6906	0.6918	0.649	0.702	0.7349	0.7485
svm rbf lemma freq	0.001	10	[1]	174	0.6655	0.6081	0.6087	0.6853	0.6626	0.6957	0.6494	0.6667	0.6994	0.7643	0.6154
svm rbf lemma freq	0.0056	10	[1]	200	0.6804	0.6447	0.6707	0.698	0.679	0.7059	0.7595	0.7066	0.6846	0.5974	0.6573
svm rbf lemma freq	0.001	10	[1, 2]	50	0.667	0.6338	0.6835	0.6667	0.6357	0.7152	0.7284	0.6087	0.6475	0.6429	0.7075
svm rbf lemma freq	0.001	10	[1, 2]	74	0.697	0.6667	0.6621	0.7674	0.75	0.6939	0.7101	0.6883	0.6795	0.6853	0.6667
svm rbf lemma freq	0.001	10	[1, 2]	100	0.7257	0.7712	0.7383	0.7179	0.7389	0.7133	0.7273	0.6269	0.7349	0.7368	0.7515
svm rbf lemma freq	0.001	10	[1, 2]	124	0.7344	0.7347	0.7799	0.7162	0.7643	0.7468	0.6577	0.6986	0.7273	0.7765	0.7421
svm rbf lemma freq	0.0056	10	[1, 2]	150	0.7255	0.6897	0.7375	0.6832	0.7451	0.6588	0.8047	0.7329	0.6792	0.7582	0.7657
svm rbf lemma freq	0.0056	100	[1, 2]	174	0.7342	0.7453	0.6901	0.7792	0.7399	0.7172	0.7111	0.7709	0.7439	0.7261	0.7179
svm rbf lemma freq	0.001	10	[1, 2]	200	0.7411	0.7285	0.8092	0.7027	0.7568	0.7545	0.7643	0.7239	0.6839	0.7164	0.7709
svm rbf lemma freq	0.001	10	[1, 2, 3]	50	0.676	0.7383	0.5735	0.6447	0.662	0.6483	0.6571	0.7285	0.6797	0.7134	0.7143
svm rbf lemma freq	0.001	10	[1, 2, 3]	74	0.7069	0.731	0.7305	0.7484	0.6423	0.702	0.6047	0.7403	0.7179	0.7273	0.725
svm rbf lemma freq	0.001	10	[1, 2, 3]	100	0.7253	0.7037	0.7215	0.7305	0.7742	0.7287	0.7626	0.75	0.7467	0.6111	0.7241
svm rbf lemma freq	0.001	10	[1, 2, 3]	124	0.7381	0.6941	0.7108	0.7838	0.7826	0.6466	0.7432	0.747	0.7516	0.7917	0.7294
svm rbf lemma freq	0.001	10	[1, 2, 3]	150	0.7264	0.6994	0.7273	0.6849	0.7342	0.7143	0.7753	0.7794	0.6883	0.7	0.7613
svm rbf lemma freq	0.001	10	[1, 2, 3]	174	0.7076	0.6957	0.7397	0.7482	0.7273	0.6738	0.6474	0.6486	0.7215	0.7362	0.7375
svm rbf lemma freq	0.001	10	[1, 2, 3]	200	0.7429	0.7215	0.7237	0.7482	0.747	0.7215	0.7811	0.7701	0.7515	0.6993	0.7651
svm rbf lemma freq	0.0056	10	[2, 3]	50	0.5638	0.5821	0.5734	0.5203	0.5985	0.5793	0.5736	0.5564	0.4928	0.5532	0.608
svm rbf lemma freq	0.001	10	[2, 3]	74	0.5663	0.4921	0.592	0.6032	0.5271	0.6176	0.5417	0.6418	0.5362	0.521	0.5899
svm rbf lemma freq	0.001	10	[2, 3]	100	0.6034	0.6389	0.6418	0.5983	0.6232	0.6093	0.5225	0.6167	0.5972	0.5513	0.6345
svm rbf lemma freq	0.001	10	[2, 3]	124	0.6257	0.6619	0.5781	0.5564	0.6569	0.6853	0.662	0.5867	0.6667	0.6429	0.56
svm rbf lemma freq	0.001	10	[2, 3]	150	0.664	0.6897	0.6835	0.6815	0.6345	0.697	0.6029	0.6901	0.6222	0.6286	0.7101
svm rbf lemma freq	0.001	10	[2, 3]	174	0.6941	0.6887	0.6324	0.7248	0.6667	0.6412	0.7068	0.6438	0.7448	0.7451	0.7465
svm rbf lemma freq	0.001	10	[2, 3]	200	0.6936	0.6968	0.7285	0.7194	0.6815	0.6197	0.6423	0.7234	0.725	0.6923	0.7075
svm rbf pos posneg	0.001	10	[1]	50	0.3913	0.4697	0.4733	0.5752	0.0606	0.5578	0.487	0.5641	0.0482	0.0645	0.6131
svm rbf pos posneg	0.1778	10	[1]	74	0.2433	0.1842	0.0225	0.5135	0.2889	0.172	0.5401	0.2245	0.2041	0.1458	0.1373
svm rbf pos posneg	0.1778	10	[1]	100	0.1796	0.2045	0.129	0.1942	0.025	0.2308	0.1591	0.5634	0	0.1837	0.1064
svm rbf pos posneg	0.1778	10	[1]	124	0.1595	0.2136	0.129	0.0506	0.2353	0.1026	0.0899	0.1013	0.2222	0.1856	0.2653
svm rbf pos posneg	1	10	[1]	150	0.1202	0.2385	0.0247	0.1798	0.1443	0.0267	0.1856	0.0253	0.0225	0.3304	0.0238
svm rbf pos posneg	1	10	[1]	174	0.0817	0.0263	0.1319	0	0.1379	0.1895	0	0.122	0.1856	0	0.0244
svm rbf pos posneg	0.1778	10	[1]	200	0.1662	0.1573	0.1869	0.1042	0.1333	0.1379	0.1928	0.1915	0.1667	0.2	0.1915
svm rbf pos posneg	0.001	10	[1, 2]	50	0.6476	0.5752	0.68	0.641	0.6923	0.719	0.642	0.6543	0.7051	0.5588	0.6087
svm rbf pos posneg	0.001	10	[1, 2]	50	0.6604	0.6718	0.732	0.7195	0.5811	0.6415	0.5512	0.725	0.6467	0.6548	0.6806
svm rbf pos posneg	0.001	10	[1, 2]	74	0.6514	0.6584	0.7089	0.5926	0.6629	0.6	0.6587	0.6164	0.5986	0.6803	0.7375
svm rbf pos posneg	0.001	10	[1, 2]	100	0.6541	0.7215	0.5839	0.6211	0.6667	0.6797	0.6389	0.642	0.6927	0.6707	0.6242
svm rbf pos posneg	0.0056	100	[1, 2]	124	0.6338	0.6462	0.5931	0.7421	0.6242	0.6207	0.6463	0.6098	0.5987	0.6316	0.6258
svm rbf pos posneg	0.0056	10	[1, 2]	150	0.5992	0.5588	0.5854	0.65	0.5786	0.6187	0.6533	0.5312	0.6467	0.5075	0.662
svm rbf pos posneg	0.0056	100	[1, 2]	174	0.6188	0.631	0.6541	0.6795	0.5442	0.6577	0.5238	0.5135	0.6982	0.6528	0.6331
svm rbf pos posneg	0.001	10	[1, 2]	200	0.6218	0.5811	0.597	0.6347	0.6883	0.5547	0.5769	0.6351	0.6667	0.6792	0.6038
svm rbf pos posneg	0.001	10	[1, 2, 3]	50	0.6583	0.6711	0.698	0.6667	0.6341	0.6242	0.6531	0.6667	0.7105	0.638	0.6207
svm rbf pos posneg	0.001	10	[1, 2, 3]	74	0.6457	0.5797	0.6267	0.659	0.7101	0.625	0.6579	0.6577	0.6234	0.6887	0.6294
svm rbf pos posneg	0.0056	10	[1, 2, 3]	100	0.6296	0.6467	0.6395	0.5538	0.5882	0.6477	0.6667	0.7006	0.5857	0.6443	0.6232
svm rbf pos posneg	0.0056	10	[1, 2, 3]	124	0.5803	0.6143	0.5517	0.4965	0.6358	0.5344	0.6119	0.6038	0.5986	0.5821	0.5735
svm rbf pos posneg	0.0056	10	[1, 2, 3]	150	0.5446	0.4677	0.6412	0.5732	0.5674	0.5517	0.4957	0.5238	0.5753	0.5397	0.5103
svm rbf pos posneg	0.0056	10	[1, 2, 3]	174	0.5321	0.4821	0.6854	0.5271	0.4874	0.7044	0.5324	0.5225	0.5238	0.4219	0.4341
svm rbf pos posneg	0.0316	10	[1, 2, 3]	200	0.5348	0.6536	0.4567	0.6272	0.6519	0.4248	0.6053	0.6207	0.6525	0.6289	0.0263
svm rbf pos posneg	0.0056	10	[1, 2, 3]	200	0.6133	0.6585	0.6203	0.7011	0.5839	0.6154	0.6709	0.6353	0.7075	0.6548	0.2857
svm rbf pos posneg	0.001	10	[2, 3]	50	0.6276	0.5517	0.6358	0.6667	0.6202	0.6216	0.6316	0.6335	0.6173	0.6569	0.6405
svm rbf pos posneg	0.001	10	[2, 3]	74	0.6205	0.5789	0.6707	0.6164	0.6267	0.5694	0.6309	0.5385	0.6933	0.6187	0.6619
svm rbf pos posneg	0.001	10	[2, 3]	100	0.6335	0.6821	0.6711	0.5897	0.6571	0.6093	0.5669	0.6144	0.6176	0.64	0.6867
svm rbf pos posneg	0.001	10	[2, 3]	124	0.627	0.5935	0.5638	0.6667	0.7125	0.6277	0.5786	0.6479	0.5696	0.6951	0.6144
svm rbf pos posneg	0.001	10	[2, 3]	150	0.6376	0.6579	0.675	0.6531	0.5503	0.646	0.5828	0.6259	0.6871	0.6748	0.6234
svm rbf pos posneg	0.001	10	[2, 3]	174	0.6355	0.5217	0.6494	0.7011	0.7006	0.6839	0.6087	0.6708	0.6259	0.5806	0.6125
svm rbf pos posneg	0.001	10	[2, 3]	200	0.6467	0.6709	0.6909	0.5414	0.6531	0.6024	0.6369	0.6013	0.6883	0.6667	0.7152
svm rbf pos pos1	1	10	[1]	50	0.4574	0.4375	0.4889	0.4925	0.4384	0.4065	0.4348	0.496	0.3913	0.4839	0.5038
svm rbf pos pos1	1	10	[1]	74	0.4449	0.4776	0.4522	0.4615	0.4127	0.5	0.4511	0.4724	0.4426	0.3667	0.4122
svm rbf pos pos1	1	10	[1]	100	0.4329	0.3902	0.4	0.4697	0.4202	0.4662	0.5203	0.3866	0.4333	0.4248	0.4174
svm rbf pos pos1	1	10	[1]	124	0.4394	0.4966	0.4038	0.4706	0.4714	0.4	0.3818	0.3898	0.4355	0.4531	0.4912
svm rbf pos pos1	1	10	[1]	150	0.4127	0.3478	0.2752	0.374	0.5079	0.4892	0.322	0.303	0.5156	0.5043	0.4878
svm rbf pos pos1	1	10	[1]	174	0.4125	0.2414	0.432	0.4769	0.3486	0.4848	0.4348	0.4333	0.4496	0.3438	0.4793
svm rbf pos pos1	1	10	[1]	200	0.4063	0.4762	0.3697	0.4158	0.3817	0.3448	0.4655	0.4037	0.403	0.3423	0.4603
svm rbf pos pos1	0.1778	10	[1, 2]	50	0.4649	0.5139	0.4918	0.4662	0.4567	0.3304	0.4576	0.4715	0.4769	0.4715	0.5128
svm rbf pos pos1	0.1778	10	[1, 2]	74	0.3642	0.26	0.386	0.3178	0.3878	0.3542	0.4733	0.2268	0.448	0.3738	0.4144
svm rbf pos pos1	0.1778	10	[1, 2]	100	0.3599	0.3509	0.4808	0.383	0.3208	0.3729	0.3689	0.2828	0.3689	0.3922	0.2778
svm rbf pos pos1	0.1778	10	[1, 2]	124	0.331	0.3238	0.3793	0.2316	0.3077	0.3956	0.2692	0.3009	0.4078	0.34	0.3542
svm rbf pos pos1	0.1778	10	[1, 2]	150	0.329	0.3853	0.2979	0.3361	0.3361	0.3238	0.2574	0.2828	0.2667	0.4878	0.3158
svm rbf pos pos1	0.0316	100	[1, 2]	174	0.3343	0.4571	0.1765	0.3232	0.2268	0.367	0.3077	0.3434	0.2927	0.3419	0.507
svm rbf pos pos1	0.0316	100	[1, 2]	200	0.4635	0.5373	0.5203	0.5161	0.5455	0.3894	0.563	0.3371	0.2772	0.5195	0.4296
svm rbf pos pos1	0.1778	10	[1, 2, 3]	50	0.4264	0.4771	0.4727	0.4874	0.4844	0.4895	0.4462	0.2292	0.4706	0.3434	0.3636
svm rbf pos pos1	0.1778	10	[1, 2, 3]	74	0.3668	0.2308	0.6197	0.3542	0.4308	0.3689	0.3636	0.3889	0.3654	0.3103	0.2353
svm rbf pos pos1	0.0316	10	[1, 2, 3]	100	0.393	0.1942	0.4697	0.3232	0.512	0.233	0.3656	0.4677	0.3636	0.512	0.4885
svm rbf pos pos1	0.0316	100	[1, 2, 3]	124	0.5117	0.5588	0.5113	0.4724	0.48	0.5424	0.563	0.4882	0.4878	0.4677	0.5455
svm rbf pos pos1	0.0316	10	[1, 2, 3]	150	0.5075	0.5505	0.375	0.5	0.4793	0.5507	0.5556	0.6029	0.5414	0.5468	0.3729
svm rbf pos pos1	0.0316	100	[1, 2, 3]	174	0.4998	0.4628	0.5246	0.4667	0.5649	0.439	0.5246	0.5538	0.5303	0.4528	0.4786
svm rbf pos pos1	0.0316	10	[1, 2, 3]	200	0.4866	0.3619	0.4511	0.4299	0.562	0.688	0.4727	0.4651	0.4737	0.4776	0.4844
svm rbf pos pos1	1	10	[2, 3]	50	0.4773	0.5359	0.4262	0.6053	0.4098	0.5161	0.5	0.4444	0.4755	0.4783	0.381
svm rbf pos pos1	1	10	[2, 3]	74	0.4592	0.3846	0.386	0.5065	0.4755	0.48	0.5484	0.4746	0.4615	0.339	0.5354
svm rbf pos pos1	0.1778	10	[2, 3]	100	0.474	0.6	0.4889	0.3925	0.374	0.512	0.5278	0.4274	0.5038	0.517	0.3969
svm rbf pos pos1	0.1778	10	[2, 3]	124	0.4399	0.2909	0.4107	0.5366	0.5345	0.5109	0.4651	0.2796	0.4688	0.4167	0.4848
svm rbf pos pos1	0.0316	10	[2, 3]	150	0.5445	0.604	0.5205	0.437	0.5957	0.4407	0.5909	0.5752	0.642	0.4828	0.5564
svm rbf pos pos1	0.0316	100	[2, 3]	174	0.5733	0.6107	0.5594	0.6069	0.6104	0.604	0.5821	0.562	0.3636	0.6294	0.604
svm rbf pos pos1	0.0316	10	[2, 3]	200	0.5276	0.5625	0.5161	0.3478	0.5667	0.487	0.6282	0.5161	0.5821	0.5401	0.5298
svm rbf pos neg1	0.0056	10	[1]	50	0.34	0.2759	0.3248	0.3089	0.3273	0.4167	0.3704	0.3333	0.3883	0.359	0.2957
svm rbf pos neg1	0.0056	10	[1]	74	0.3098	0.3279	0.3937	0.3077	0.3193	0.0571	0.3025	0.3697	0.4	0.3488	0.2712
svm rbf pos neg1	0.0056	10	[1]	100	0.3393	0.3684	0.3304	0.3434	0.4252	0.354	0.3433	0.3214	0.2718	0.281	0.354
svm rbf pos neg1	0.001	100	[1]	124	0.2649	0.4	0.3276	0.3662	0.12	0.1237	0.1474	0.3091	0.2718	0.2407	0.3423
svm rbf pos neg1	1	10	[1]	150	0.2006	0.28	0.1386	0.044	0.1649	0.3667	0.3226	0.1414	0.3089	0.1915	0.0471
svm rbf pos neg1	0.001	100	[1]	174	0.245	0	0.1042	0.2857	0.3966	0.1455	0.3419	0.4034	0.3208	0.0901	0.3622
